StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-28 00:35:57,2017-11-28 00:39:55,IP Address,41.212.183.84,100,237,True,2017-11-28 00:39:56,R_2YPvqFPF2fqoPlU,,,,,-20.161895751953,57.498901367188,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Undecided,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Undecided,Agree,Strongly Agree,Disagree,,1995,Male,55325937,PopCulture,
2017-11-28 00:37:23,2017-11-28 00:40:57,IP Address,45.49.240.55,100,214,True,2017-11-28 00:40:58,R_1rHww5tLLJiDm1c,,,,,34.079696655273,-118.54840087891,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Agree,Undecided,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Undecided,Disagree,Strongly Agree,Agree,,1988,Female,27883315,PopCulture,
2017-11-28 00:44:19,2017-11-28 00:46:36,IP Address,174.216.14.248,100,137,True,2017-11-28 00:46:37,R_3MS9I9e0rriNg4b,,,,,47.606201171875,-122.33209991455,anonymous,EN,Strongly Agree,Strongly Disagree,Strongly Agree,Undecided,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1984,Female,78612836,Science,
2017-11-28 00:48:10,2017-11-28 00:49:42,IP Address,107.213.216.165,100,92,True,2017-11-28 00:49:43,R_Uucog1v1medfzlD,,,,,25.658599853516,-80.356796264648,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Undecided,Agree,Strongly Agree,Agree,Agree,Undecided,Undecided,Strongly Agree,Agree,Undecided,Undecided,Undecided,Agree,Strongly Agree,Agree,Undecided,Agree,Undecided,Agree,1973,Female,45679249,PopCulture,
2017-11-28 00:57:43,2017-11-28 01:00:15,IP Address,173.244.48.37,100,152,True,2017-11-28 01:00:16,R_2VlQBYw57RsM6ft,,,,,34.054397583008,-118.2440032959,anonymous,EN,Agree,Disagree,Agree,Agree,Disagree,Undecided,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Undecided,Disagree,Undecided,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1968,Female,65600827,Science,
2017-11-28 01:09:43,2017-11-28 01:13:50,IP Address,65.183.153.99,100,246,True,2017-11-28 01:13:51,R_3PuefVkaHkZ5Ura,,,,,44.47590637207,-73.212097167969,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Undecided,Agree,Undecided,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Undecided,Disagree,Agree,Strongly Agree,,1998,Male,89388013,PopCulture,
2017-11-28 01:12:59,2017-11-28 01:16:18,IP Address,173.68.118.236,100,198,True,2017-11-28 01:16:19,R_9MmH7SQGXmEN6ud,,,,,40.750595092773,-73.82039642334,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Undecided,Undecided,Undecided,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Undecided,Strongly Agree,Undecided,Undecided,Agree,Agree,Agree,,1988,Male,52450767,PopCulture,
2017-11-28 01:18:31,2017-11-28 01:20:45,IP Address,70.241.244.132,100,134,True,2017-11-28 01:20:46,R_1osPzmRsE4ZCpXa,,,,,32.825393676758,-96.683097839355,anonymous,EN,Disagree,Agree,Disagree,Undecided,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Strongly Agree,Disagree,Undecided,Disagree,Undecided,Undecided,Undecided,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Female,10045433,Science,
2017-11-28 01:45:04,2017-11-28 01:47:21,IP Address,172.9.185.214,100,136,True,2017-11-28 01:47:22,R_2BySZ0wuIYnprgW,,,,,33.89990234375,-117.44049835205,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Disagree,Strongly Disagree,Undecided,Agree,Undecided,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Undecided,Disagree,Strongly Agree,Agree,,1995,Male,69716814,PopCulture,
2017-11-28 01:53:35,2017-11-28 01:56:22,IP Address,108.243.20.180,100,167,True,2017-11-28 01:56:22,R_1LTYc4jKz4T0VVa,,,,,42.931396484375,-85.649696350098,anonymous,EN,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1973,Female,34394311,Science,
2017-11-28 01:55:41,2017-11-28 02:00:46,IP Address,24.198.188.151,100,305,True,2017-11-28 02:00:47,R_217CECEHpwdf332,,,,,44.382904052734,-69.950103759766,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Agree,Undecided,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Undecided,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Undecided,Strongly Agree,,1966,Male,78458466,PopCulture,
2017-11-28 01:59:44,2017-11-28 02:02:03,IP Address,24.116.233.208,100,139,True,2017-11-28 02:02:04,R_2wQX3bjZ0Zh1Osd,,,,,43.4375,-116.32319641113,anonymous,EN,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Undecided,Agree,Disagree,Undecided,Strongly Agree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1985,Male,34253753,Science,
2017-11-28 02:01:36,2017-11-28 02:03:26,IP Address,45.3.74.197,100,109,True,2017-11-28 02:03:27,R_OlkO2NJlwOy2zzb,,,,,37.179092407227,-80.351501464844,anonymous,EN,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Undecided,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1997,Male,24054557,Science,
2017-11-28 02:04:18,2017-11-28 02:06:06,IP Address,52.144.46.197,100,108,True,2017-11-28 02:06:07,R_2q1PSUrRQjIPmi5,,,,,40.714294433594,-74.005996704102,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,,1987,Male,33469146,PopCulture,
2017-11-28 02:05:27,2017-11-28 02:11:18,IP Address,71.63.23.76,100,350,True,2017-11-28 02:11:18,R_1Q57Y68jyIubdQJ,,,,,38.272399902344,-77.593200683594,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Undecided,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1947,Male,18822763,Science,
2017-11-28 02:28:32,2017-11-28 02:30:49,IP Address,68.199.17.30,100,137,True,2017-11-28 02:30:50,R_1Eb88n111sNHmMh,,,,,40.644897460938,-73.958297729492,anonymous,EN,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1981,Male,18730424,Science,
2017-11-28 02:41:58,2017-11-28 02:44:35,IP Address,173.25.89.15,100,156,True,2017-11-28 02:44:36,R_3hF27i9GmF68svQ,,,,,39.794204711914,-88.273399353027,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Disagree,Agree,Agree,Disagree,Undecided,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,1960,Female,58945745,PopCulture,
2017-11-28 02:44:40,2017-11-28 02:48:25,IP Address,104.175.131.221,100,224,True,2017-11-28 02:48:26,R_sYFfZISZFZosvxD,,,,,33.908096313477,-117.10820007324,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Strongly Agree,Agree,Undecided,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,,1993,Female,93765800,PopCulture,
2017-11-28 02:50:40,2017-11-28 02:52:33,IP Address,172.14.135.32,100,113,True,2017-11-28 02:52:34,R_2Rb4K5DkzSfmuOt,,,,,34.510192871094,-118.68040466309,anonymous,EN,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Undecided,Agree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Male,20318579,Science,
2017-11-28 02:54:28,2017-11-28 02:56:26,IP Address,73.12.81.160,100,118,True,2017-11-28 02:56:27,R_1Kp5NwV373tgnjt,,,,,37.835098266602,-78.281196594238,anonymous,EN,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Undecided,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1996,Male,74246769,Science,
2017-11-28 02:56:21,2017-11-28 03:00:36,IP Address,24.197.166.19,100,254,True,2017-11-28 03:00:37,R_9QCbQycwOU5FKpj,,,,,34.051498413086,-84.071296691895,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Agree,Undecided,Agree,Undecided,Undecided,Agree,Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Disagree,Agree,Undecided,Agree,Undecided,Agree,Disagree,,1954,Female,19207138,PopCulture,
2017-11-28 03:00:00,2017-11-28 03:03:41,IP Address,75.177.35.147,100,220,True,2017-11-28 03:03:42,R_2dzpEf7OgToflKe,,,,,36.194305419922,-79.396003723145,anonymous,EN,Agree,Agree,Agree,Agree,Undecided,Undecided,Undecided,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Undecided,Undecided,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1992,Female,54234361,Science,
2017-11-28 03:08:48,2017-11-28 03:12:05,IP Address,66.8.231.140,100,197,True,2017-11-28 03:12:06,R_2ro92tsxxOFz90e,,,,,19.710800170898,-155.87399291992,anonymous,EN,Agree,Agree,Agree,Agree,Undecided,Agree,Disagree,Agree,Undecided,Agree,Disagree,Agree,Agree,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1989,Male,45612656,Science,
2017-11-28 03:21:49,2017-11-28 03:27:55,IP Address,173.124.212.211,100,365,True,2017-11-28 03:27:55,R_2vkUsItl3pTK7EK,,,,,40.911102294922,-74.142501831055,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly Disagree,Undecided,Undecided,Agree,Agree,Undecided,Agree,Disagree,Agree,Undecided,Agree,Undecided,Agree,Agree,Strongly Agree,Agree,,1974,Female,50243584,PopCulture,
2017-11-27 23:35:55,2017-11-27 23:36:01,IP Address,108.5.246.7,48,6,False,2017-11-28 03:36:28,R_2OZmSWUOK0f8Ena,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30585406,PopCulture,
2017-11-28 03:37:51,2017-11-28 03:40:40,IP Address,42.109.143.251,100,169,True,2017-11-28 03:40:41,R_e8OQCWJ6PHoDJoR,,,,,12.983306884766,77.583312988281,anonymous,EN,Strongly Agree,Undecided,Strongly Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Undecided,Agree,Strongly Disagree,Disagree,Undecided,Undecided,Agree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1987,Male,30456983,Science,
2017-11-28 03:40:27,2017-11-28 03:43:20,IP Address,121.99.130.230,100,172,True,2017-11-28 03:43:21,R_1IBlbhVdDsE0mRU,,,,,-37.667404174805,175.15548706055,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Undecided,Agree,Undecided,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,,1982,Female,27511061,PopCulture,
2017-11-27 23:43:10,2017-11-27 23:43:21,IP Address,157.50.21.102,50,10,False,2017-11-28 03:43:32,R_322AT1pT3TNF9IK,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,Agree,,,,,,,,,,,,,,,,,,,40395903,PopCulture,
2017-11-28 03:45:26,2017-11-28 03:50:51,IP Address,173.234.62.155,100,325,True,2017-11-28 03:50:52,R_337qtaV2jEa1hQ7,,,,,41.848297119141,-87.629096984863,anonymous,EN,Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Undecided,Agree,Undecided,Undecided,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1996,Female,20544576,Science,
2017-11-28 03:51:35,2017-11-28 03:53:22,IP Address,69.47.37.117,100,106,True,2017-11-28 03:53:23,R_2zi19JaGQVDQFfj,,,,,41.693496704102,-87.614501953125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Undecided,Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,Undecided,Agree,Strongly Disagree,Disagree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Disagree,Agree,Strongly Agree,,1984,Male,63116901,PopCulture,
2017-11-27 23:58:53,2017-11-27 23:59:18,IP Address,157.50.22.77,50,24,False,2017-11-28 04:00:01,R_27cXlQqoNsex2YI,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,,,,,,,,,,,10527583,PopCulture,
2017-11-28 04:03:47,2017-11-28 04:06:45,IP Address,24.101.173.128,100,178,True,2017-11-28 04:06:46,R_2zHBYJhGRXHmuEq,,,,,41.625793457031,-79.696403503418,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Undecided,,1976,Female,63870990,PopCulture,
2017-11-28 04:09:17,2017-11-28 04:11:51,IP Address,162.197.73.173,100,153,True,2017-11-28 04:11:51,R_25vcf1OcAcPp0yU,,,,,41.073806762695,-80.654998779297,anonymous,EN,Agree,Agree,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Strongly Agree,Disagree,Agree,Strongly Disagree,Undecided,Agree,Undecided,Undecided,Agree,Undecided,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1951,Male,93035216,Science,
2017-11-28 04:27:16,2017-11-28 04:29:08,IP Address,69.174.173.116,100,112,True,2017-11-28 04:29:09,R_z711NFBZO3smaY1,,,,,40.466094970703,-88.903396606445,anonymous,EN,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,,,,,,,,,,,,,,,,,,,,,Undecided,1991,Male,77144322,Science,
2017-11-28 04:45:04,2017-11-28 04:49:31,IP Address,73.169.86.131,100,266,True,2017-11-28 04:49:32,R_1o7GaaVYyyhOf1q,,,,,39.703598022461,-104.77239990234,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Disagree,Undecided,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,,1962,Female,90560474,PopCulture,
2017-11-28 04:49:10,2017-11-28 04:51:28,IP Address,192.251.13.62,100,137,True,2017-11-28 04:51:29,R_3aSzdN74Y7rsYmJ,,,,,40.090194702148,-75.393699645996,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Disagree,Undecided,Strongly Disagree,Undecided,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,,1969,Male,13261243,PopCulture,
2017-11-28 05:00:38,2017-11-28 05:02:37,IP Address,158.222.181.131,100,119,True,2017-11-28 05:02:38,R_WimwaFY2hqOgK4h,,,,,40.623397827148,-74.028800964355,anonymous,EN,Strongly Agree,Undecided,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Undecided,Agree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1993,Female,52135783,Science,
2017-11-28 05:07:42,2017-11-28 05:11:07,IP Address,71.195.15.101,100,204,True,2017-11-28 05:11:08,R_25YesOJdKnlwvnV,,,,,44.823104858398,-93.374496459961,anonymous,EN,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1961,Female,44770526,Science,
2017-11-28 05:09:58,2017-11-28 05:11:29,IP Address,103.66.79.209,100,90,True,2017-11-28 05:11:29,R_Xp0UUhhdLeEtMPL,,,,,13.083297729492,80.283294677734,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Agree,Undecided,Disagree,Disagree,Strongly Agree,Undecided,1981,Male,65266404,PopCulture,
2017-11-28 05:26:32,2017-11-28 05:29:36,IP Address,196.52.2.14,100,183,True,2017-11-28 05:29:37,R_5zM04fDk5TVQEPn,,,,,40.714294433594,-74.005996704102,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Undecided,Undecided,Agree,Undecided,Agree,Disagree,Undecided,Agree,Strongly Disagree,Undecided,Strongly Disagree,Undecided,Strongly Agree,Disagree,Undecided,Agree,Disagree,Agree,,1979,Female,97403498,PopCulture,
2017-11-28 05:28:40,2017-11-28 05:29:51,IP Address,24.145.87.106,100,71,True,2017-11-28 05:29:52,R_2uBAB38kqa9ksIs,,,,,33.598205566406,-81.671203613281,anonymous,EN,Undecided,Disagree,Agree,Undecided,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Undecided,Undecided,,,,,,,,,,,,,,,,,,,,,Agree,1991,Male,23028270,Science,
2017-11-28 05:34:23,2017-11-28 05:36:11,IP Address,65.27.201.77,100,107,True,2017-11-28 05:36:12,R_1hKmPWsY4C1OjPv,,,,,39.78190612793,-84.241302490234,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Agree,Undecided,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Undecided,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,,1984,Female,81935691,PopCulture,
2017-11-28 05:34:35,2017-11-28 05:36:50,IP Address,76.109.193.250,100,134,True,2017-11-28 05:36:51,R_1DuHkR6bRy4lGXg,,,,,25.701400756836,-80.358200073242,anonymous,EN,Strongly Disagree,Disagree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Undecided,Undecided,Undecided,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1978,Female,59840752,Science,
2017-11-28 05:48:51,2017-11-28 05:49:58,IP Address,73.214.243.173,100,66,True,2017-11-28 05:49:59,R_3qR9NhpBeBqNbfT,,,,,40.335601806641,-79.55069732666,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Undecided,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Undecided,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,,1985,Female,16349143,PopCulture,
2017-11-28 05:52:39,2017-11-28 05:55:03,IP Address,75.185.1.122,100,144,True,2017-11-28 05:55:04,R_2TzYa8uc6up5Q5S,,,,,40.085296630859,-82.975196838379,anonymous,EN,Agree,Disagree,Strongly Agree,Agree,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Undecided,Disagree,Agree,Undecided,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1980,Female,74255022,Science,
2017-11-28 05:57:23,2017-11-28 06:01:37,IP Address,12.218.182.74,100,253,True,2017-11-28 06:01:38,R_Rw4QAe5mafxhgB3,,,,,27.767807006836,-80.601402282715,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Undecided,Strongly Agree,Agree,Undecided,Strongly Agree,Agree,Undecided,Strongly Disagree,Undecided,Undecided,Disagree,Strongly Agree,Strongly Disagree,Undecided,Undecided,Undecided,Undecided,,1984,Male,86477208,PopCulture,
2017-11-28 06:04:55,2017-11-28 06:06:36,IP Address,161.69.122.14,100,100,True,2017-11-28 06:06:37,R_28NBfuW3OvykFJ0,,,,,37.396102905273,-121.96170043945,anonymous,EN,Undecided,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Undecided,Strongly Disagree,Agree,Agree,Undecided,Agree,Undecided,Disagree,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,,1986,Male,33540749,Science,
2017-11-28 06:04:03,2017-11-28 06:07:31,IP Address,47.186.101.198,100,208,True,2017-11-28 06:07:32,R_AbzhEQqPmYotNHr,,,,,33.016204833984,-96.538200378418,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Undecided,Disagree,Agree,Undecided,Undecided,Agree,Agree,Strongly Agree,Undecided,Disagree,Undecided,Strongly Agree,Undecided,Undecided,Agree,Agree,Undecided,,1979,Female,25802377,PopCulture,
2017-11-28 06:11:28,2017-11-28 06:14:11,IP Address,24.112.107.144,100,163,True,2017-11-28 06:14:12,R_2aCQGkxAXjkbKch,,,,,31.185806274414,-82.353897094727,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Disagree,Undecided,Agree,Agree,Disagree,Undecided,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,,1979,Female,67828598,PopCulture,
2017-11-28 06:06:41,2017-11-28 06:14:44,IP Address,68.204.11.187,100,482,True,2017-11-28 06:14:45,R_2SjDfylKQ4zOLRd,,,,,28.681198120117,-81.276298522949,anonymous,EN,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1985,Female,33126044,Science,
2017-11-28 06:16:24,2017-11-28 06:17:56,IP Address,208.94.41.227,100,92,True,2017-11-28 06:17:57,R_2dKeoQXG0KszxQL,,,,,40.654296875,-79.482902526855,anonymous,EN,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Undecided,Agree,Disagree,Strongly Agree,Undecided,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1995,Female,58109225,Science,
2017-11-28 06:24:15,2017-11-28 06:26:11,IP Address,173.92.71.115,100,115,True,2017-11-28 06:26:12,R_R7VtqhHpvrZ5TZT,,,,,35.131103515625,-80.851196289062,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Undecided,Agree,Disagree,Strongly Agree,Agree,,1984,Female,75390207,PopCulture,
2017-11-28 06:25:53,2017-11-28 06:28:15,IP Address,72.152.75.209,100,141,True,2017-11-28 06:28:16,R_2Cgs5V1bZDPlbrJ,,,,,33.558303833008,-85.000801086426,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Undecided,Disagree,Agree,Disagree,Undecided,Undecided,Agree,Agree,Agree,,1986,Female,17111780,PopCulture,
2017-11-28 02:27:43,2017-11-28 02:28:16,IP Address,68.199.17.30,48,32,False,2017-11-28 06:28:28,R_211BGO3GJCec0xI,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56142209,PopCulture,
2017-11-28 06:27:30,2017-11-28 06:29:44,IP Address,24.22.216.204,100,134,True,2017-11-28 06:29:45,R_AMoiFUm9VrY9GZr,,,,,47.754302978516,-122.1634979248,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Undecided,Undecided,Undecided,Disagree,Agree,Strongly Disagree,Strongly Disagree,Undecided,Agree,Undecided,Agree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1982,Male,41783831,Science,
2017-11-28 06:27:46,2017-11-28 06:30:03,IP Address,96.19.53.200,100,137,True,2017-11-28 06:30:04,R_ZxhxoQxv5ifWv5f,,,,,43.428497314453,-112.00409698486,anonymous,EN,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1956,Male,32265117,Science,
2017-11-28 06:32:33,2017-11-28 06:35:03,IP Address,65.88.88.179,100,150,True,2017-11-28 06:35:04,R_enfhFCJjeUOSA1z,,,,,40.762496948242,-73.950302124023,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Undecided,Undecided,Agree,Undecided,Agree,Agree,Undecided,Undecided,Agree,Agree,Disagree,Disagree,Agree,Undecided,Strongly Disagree,Agree,Agree,Undecided,,1963,Male,75022003,PopCulture,
